Solvent,Temperature_K,mu_self,mu_solv,Solvent_density,Solvent_MolWeight,Method,log10_x,w,log10_S,x,delta_mu
chcl3,398.15,-14.95115832,-15.22630996,1342.82,119.3783,SLE,-0.67495187,0.5838550363,0.03002143,0.21137233,-0.2751516400000007
chcl3,393.15,-15.18811761,-15.48362251,1349.82,119.3783,SLE,-0.70978277,0.5592137856,0.0161468,0.19508201,-0.2955048999999992
chcl3,388.15,-15.42696862,-15.74292765,1356.85,119.3783,SLE,-0.74545606,0.5341714616,0.00116644,0.17969829,-0.31595903000000014
chcl3,383.15,-15.66768595,-16.00410579,1363.93,119.3783,SLE,-0.78205854,0.5087660289,-0.0150174,0.16517391,-0.33641984000000136
chcl3,378.15,-15.91024291,-16.26703584,1371.05,119.3783,SLE,-0.81968171,0.4830444324,-0.03251125,0.15146709,-0.35679292999999923
chcl3,373.15,-16.15461156,-16.53158966,1378.21,119.3783,SLE,-0.8584254,0.4570613032,-0.05143266,0.13853981,-0.3769781000000023
chcl3,368.15,-16.40076282,-16.7976351,1385.41,119.3783,SLE,-0.89839654,0.4308810362,-0.07191011,0.12635821,-0.3968722800000002
chcl3,363.15,-16.64866657,-17.0650241,1392.65,119.3783,SLE,-0.93971696,0.4045739955,-0.09408799,0.11489021,-0.4163575299999991
chcl3,358.15,-16.89829177,-17.33362536,1399.93,119.3783,SLE,-0.98250447,0.3782296017,-0.11811592,0.10411074,-0.43533358999999905
chcl3,353.15,-17.14960654,-17.60328946,1407.26,119.3783,SLE,-1.02689428,0.3519431912,-0.14416126,0.09399521,-0.45368291999999855
chcl3,348.15,-17.40257834,-17.87388472,1414.63,119.3783,SLE,-1.07301785,0.3258289884,-0.17239592,0.08452441,-0.4713063799999979
chcl3,343.15,-17.65717409,-18.14526332,1422.04,119.3783,SLE,-1.12102425,0.3000067789,-0.20300941,0.07567906,-0.48808922999999993
chcl3,338.15,-17.91336033,-18.41729486,1429.49,119.3783,SLE,-1.17105984,0.2746120637,-0.23619474,0.06744351,-0.5039345299999987
chcl3,333.15,-18.17110338,-18.68984899,1436.98,119.3783,SLE,-1.22327967,0.2497871392,-0.27215461,0.05980264,-0.5187456099999999
chcl3,328.15,-18.43036953,-18.9628137,1444.52,119.3783,SLE,-1.27783601,0.2256831336,-0.31109151,0.0527429,-0.5324441700000015
chcl3,323.15,-18.69112519,-19.23608119,1452.1,119.3783,SLE,-1.33488784,0.2024507573,-0.35321249,0.04625005,-0.5449559999999991
chcl3,318.15,-18.95333714,-19.50957498,1459.72,119.3783,SLE,-1.39458287,0.1802420959,-0.39871297,0.0403104,-0.5562378400000014
chcl3,313.15,-19.21697271,-19.78323496,1467.39,119.3783,SLE,-1.45706725,0.1591994528,-0.44778103,0.03490863,-0.5662622500000012
chcl3,308.15,-19.48199998,-20.05701938,1475.09,119.3783,SLE,-1.52248419,0.1394494859,-0.50059393,0.03002727,-0.5750193999999986
chcl3,303.15,-19.74838803,-20.33092388,1482.84,119.3783,SLE,-1.59096016,0.1211007821,-0.55730399,0.02564719,-0.5825358499999993
chcl3,298.15,-20.01610718,-20.60496968,1490.63,119.3783,SLE,-1.66261228,0.1042352275,-0.61804231,0.02174642,-0.5888625000000012
cyclohexane,403.15,-14.71611476,-14.76758303,682.56,84.16,SLE,-0.75116297,0.6154974271,-0.07055437,0.17735238,-0.05146827000000087
cyclohexane,398.15,-14.95115832,-14.98616414,686.3,84.16,SLE,-0.80671132,0.5785980191,-0.10198039,0.15605895,-0.0350058200000003
