Solvent,Temperature_K,mu_self,mu_solv,Solvent_density,Solvent_MolWeight,Method,log10_x,w,log10_S,delta_mu
acetylacetone,338.15,-17.91336033,-17.55057438,927.87,100.1163,REF,-2.28354092,0.0316280701,-1.3260913,0.36278594999999925
acetylacetone,333.15,-18.17110338,-17.80441291,932.71,100.1163,REF,-2.37877992,0.0255335457,-1.4172147,0.36669047000000177
acetylacetone,328.15,-18.43036953,-18.0609115,937.58,100.1163,REF,-2.476164,0.0204928189,-1.51081079,0.36945803000000055
acetylacetone,323.15,-18.69112519,-18.32001948,942.47,100.1163,REF,-2.57580431,0.0163491953,-1.60693895,0.3711057100000019
acetylacetone,318.15,-18.95333714,-18.58170121,947.4,100.1163,REF,-2.67780887,0.0129640833,-1.70566252,0.37163593000000006
acetylacetone,313.15,-19.21697271,-18.84593405,952.35,100.1163,REF,-2.78228393,0.010215953,-1.80704928,0.37103865999999996
acetylacetone,308.15,-19.48199998,-19.11270659,957.33,100.1163,REF,-2.88933521,0.0079991227,-1.91117204,0.36929339000000283
acetylacetone,303.15,-19.74838803,-19.38201688,962.33,100.1163,REF,-2.99906929,0.0062224319,-2.01810933,0.36637115000000264
acetylacetone,298.15,-20.01610718,-19.65387152,967.37,100.1163,REF,-3.11159455,0.0048078754,-2.12794574,0.3622356599999996
benzene,403.15,-14.71611476,-15.20374168,775.84,78.1124,REF,-0.82692136,0.5833849263,-0.07175929,-0.4876269200000003
benzene,398.15,-14.95115832,-15.47310962,779.96,78.1124,REF,-0.86733582,0.5568019432,-0.09315731,-0.5219513000000013
benzene,393.15,-15.18811761,-15.74442114,784.12,78.1124,REF,-0.90876277,0.5296195705,-0.11607663,-0.5563035299999992
benzene,388.15,-15.42696862,-16.0174839,788.3,78.1124,REF,-0.95133611,0.501882974,-0.14065191,-0.5905152799999982
benzene,383.15,-15.66768595,-16.29208528,792.52,78.1124,REF,-0.9952075,0.47364589,-0.16703666,-0.6243993299999993
benzene,378.15,-15.91024291,-16.56802518,796.78,78.1124,REF,-1.04052866,0.4449849182,-0.19539226,-0.6577822700000002
benzene,373.15,-16.15461156,-16.84506647,801.06,78.1124,REF,-1.08748038,0.4159837895,-0.22590755,-0.6904549099999997
benzene,368.15,-16.40076282,-17.12293806,805.38,78.1124,REF,-1.13627277,0.3867372065,-0.25880102,-0.7221752399999986
benzene,363.15,-16.64866657,-17.40141108,809.74,78.1124,REF,-1.18710146,0.3573799362,-0.29428952,-0.7527445099999994
benzene,358.15,-16.89829177,-17.68016922,814.13,78.1124,REF,-1.24022581,0.3280430076,-0.33264545,-0.7818774499999996
benzene,353.15,-17.14960654,-17.95895233,818.55,78.1124,REF,-1.29588459,0.2989040296,-0.37413425,-0.8093457899999983
benzene,348.15,-17.40257834,-18.23744661,823.01,78.1124,REF,-1.35436355,0.2701490736,-0.41906479,-0.8348682699999976
benzene,343.15,-17.65717409,-18.51533529,827.51,78.1124,REF,-1.41596665,0.2419876798,-0.46776713,-0.8581611999999978
benzene,338.15,-17.91336033,-18.79232068,832.04,78.1124,REF,-1.48100324,0.2146535369,-0.52057985,-0.8789603499999998
benzene,333.15,-18.17110338,-19.06811528,836.61,78.1124,REF,-1.54979443,0.1883924452,-0.57785248,-0.897011899999999
benzene,328.15,-18.43036953,-19.3424399,841.21,78.1124,REF,-1.62267531,0.1634503457,-0.63994472,-0.9120703699999986
benzene,323.15,-18.69112519,-19.61507027,845.86,78.1124,REF,-1.69996469,0.1400691441,-0.70719646,-0.9239450799999993
benzene,318.15,-18.95333714,-19.88582302,850.54,78.1124,REF,-1.78197357,0.1184651599,-0.77993112,-0.9324858800000015
benzene,313.15,-19.21697271,-20.15460428,855.26,78.1124,REF,-1.86897069,0.0988196768,-0.85842059,-0.9376315700000006
benzene,308.15,-19.48199998,-20.42138556,860.01,78.1124,REF,-1.96119647,0.0812573041,-0.94289457,-0.9393855799999997
benzene,303.15,-19.74838803,-20.68622768,864.81,78.1124,REF,-2.05884349,0.0658381919,-1.03352092,-0.9378396499999972
benzene,298.15,-20.01610718,-20.94927733,869.64,78.1124,REF,-2.16205518,0.0525521926,-1.13040409,-0.9331701500000023
chcl3,403.15,-14.71611476,-15.13743197,1335.87,119.3783,REF,-0.86286751,0.4541188268,-0.06698758,-0.4213172099999998
chcl3,398.15,-14.95115832,-15.39902573,1342.82,119.3783,REF,-0.90800066,0.4246947447,-0.0905805,-0.44786741000000063
chcl3,393.15,-15.18811761,-15.66195248,1349.82,119.3783,REF,-0.95460573,0.3952993607,-0.11620344,-0.47383486999999924
chcl3,388.15,-15.42696862,-15.92599542,1356.85,119.3783,REF,-1.00284815,0.3660462039,-0.14404966,-0.4990267999999993
chcl3,383.15,-15.66768595,-16.1909517,1363.93,119.3783,REF,-1.05289324,0.3370688679,-0.1743215,-0.5232657500000002
chcl3,378.15,-15.91024291,-16.45659915,1371.05,119.3783,REF,-1.10492549,0.3085087967,-0.20724193,-0.5463562399999997
chcl3,373.15,-16.15461156,-16.7226977,1378.21,119.3783,REF,-1.15914901,0.2805149843,-0.24305522,-0.5680861400000019
chcl3,368.15,-16.40076282,-16.9890628,1385.41,119.3783,REF,-1.21574538,0.2532627674,-0.28199568,-0.5882999799999986
chcl3,363.15,-16.64866657,-17.25547538,1392.65,119.3783,REF,-1.27492632,0.2269217489,-0.32432218,-0.6068088100000004
chcl3,358.15,-16.89829177,-17.52174616,1399.93,119.3783,REF,-1.33689662,0.2016689217,-0.37028935,-0.6234543899999991
chcl3,353.15,-17.14960654,-17.78771563,1407.26,119.3783,REF,-1.40185377,0.1776797523,-0.420143,-0.6381090900000004
chcl3,348.15,-17.40257834,-18.05323839,1414.63,119.3783,REF,-1.46999729,0.1551155413,-0.47412364,-0.650660049999999
chcl3,343.15,-17.65717409,-18.31822193,1422.04,119.3783,REF,-1.5415043,0.1341223772,-0.53244271,-0.6610478399999984
chcl3,338.15,-17.91336033,-18.58261743,1429.49,119.3783,REF,-1.61653395,0.1148188048,-0.59528158,-0.6692570999999994
chcl3,333.15,-18.17110338,-18.84641787,1436.98,119.3783,REF,-1.69522736,0.0972874931,-0.66278838,-0.6753144899999981
chcl3,328.15,-18.43036953,-19.10966712,1444.52,119.3783,REF,-1.7777003,0.0815711128,-0.73506957,-0.6792975900000009
chcl3,323.15,-18.69112519,-19.37246324,1452.1,119.3783,REF,-1.86403922,0.0676698481,-0.81218524,-0.6813380499999973
chcl3,318.15,-18.95333714,-19.63495002,1459.72,119.3783,REF,-1.95430478,0.0555410857,-0.894153,-0.681612880000003
chcl3,313.15,-19.21697271,-19.89730342,1467.39,119.3783,REF,-2.04853945,0.0451027104,-0.98095714,-0.6803307099999998
chcl3,308.15,-19.48199998,-20.15972999,1475.09,119.3783,REF,-2.14676733,0.0362405058,-1.07255193,-0.6777300099999977
chcl3,303.15,-19.74838803,-20.42245092,1482.84,119.3783,REF,-2.24900425,0.028816167,-1.16887521,-0.6740628899999983
chcl3,298.15,-20.01610718,-20.68569616,1490.63,119.3783,REF,-2.35526158,0.0226767963,-1.26985627,-0.6695889800000003
cyclohexane,403.15,-14.71611476,-14.661323,682.56,84.16,REF,-1.12096373,0.3781195535,-0.32432384,0.05479176000000052
cyclohexane,398.15,-14.95115832,-14.84326527,686.3,84.16,REF,-1.21305897,0.3262663844,-0.39476055,0.10789304999999949
cyclohexane,393.15,-15.18811761,-15.02055401,690.07,84.16,REF,-1.31114845,0.27606219,-0.47323992,0.16756360000000114
cyclohexane,388.15,-15.42696862,-15.19584358,693.88,84.16,REF,-1.41395578,0.2294234904,-0.55877321,0.23112504000000023
cyclohexane,383.15,-15.66768595,-15.37198034,697.73,84.16,REF,-1.52002762,0.1877860652,-0.64997309,0.29570560999999884
cyclohexane,378.15,-15.91024291,-15.55130721,701.61,84.16,REF,-1.628124,0.1518455211,-0.74545514,0.35893569999999997
cyclohexane,373.15,-16.15461156,-15.73534364,705.53,84.16,REF,-1.73742002,0.1216162708,-0.84411867,0.41926791999999935
cyclohexane,368.15,-16.40076282,-15.92479748,709.5,84.16,REF,-1.84752709,0.0966589963,-0.9452529,0.4759653400000001
cyclohexane,363.15,-16.64866657,-16.1198154,713.5,84.16,REF,-1.95837234,0.0763234029,-1.04847613,0.5288511699999994
cyclohexane,358.15,-16.89829177,-16.3201836,717.54,84.16,REF,-2.07009818,0.0599083344,-1.15366134,0.5781081700000001
cyclohexane,353.15,-17.14960654,-16.52552431,721.62,84.16,REF,-2.18295609,0.0467533042,-1.2608373,0.6240822299999991
cyclohexane,348.15,-17.40257834,-16.73538115,725.74,84.16,REF,-2.29726088,0.0362737578,-1.37013906,0.6671971900000031
cyclohexane,343.15,-17.65717409,-16.94929292,729.9,84.16,REF,-2.41334848,0.0279714019,-1.48175934,0.7078811700000003
cyclohexane,338.15,-17.91336033,-17.16682372,734.11,84.16,REF,-2.53155805,0.0214297326,-1.59592365,0.7465366099999997
cyclohexane,333.15,-18.17110338,-17.38757012,738.36,84.16,REF,-2.65222771,0.0163044136,-1.71287986,0.7835332600000022
cyclohexane,328.15,-18.43036953,-17.61117182,742.65,84.16,REF,-2.77568739,0.0123130118,-1.83288614,0.819197710000001
cyclohexane,323.15,-18.69112519,-17.83730915,746.99,84.16,REF,-2.9022601,0.0092249287,-1.95620831,0.8538160400000017
cyclohexane,318.15,-18.95333714,-18.06570209,751.37,84.16,REF,-3.03226214,0.006852653,-2.083117,0.8876350500000001
cyclohexane,313.15,-19.21697271,-18.29610434,755.79,84.16,REF,-3.16600685,0.0050442564,-2.21388907,0.9208683700000009
cyclohexane,308.15,-19.48199998,-18.52830182,760.26,84.16,REF,-3.30380561,0.0036771732,-2.34880675,0.9536981600000018
cyclohexane,303.15,-19.74838803,-18.7621083,764.78,84.16,REF,-3.44597101,0.0026529841,-2.48815935,0.9862797299999997
cyclohexane,298.15,-20.01610718,-18.99736204,769.35,84.16,REF,-3.5928195,0.0018930945,-2.63224487,1.01874514
cyclohexanol,403.15,-14.71611476,-13.81157824,849.16,100.1595,REF,-1.58160599,0.1437605391,-0.69788232,0.9045365200000006
cyclohexanol,398.15,-14.95115832,-13.93708274,853.6,100.1595,REF,-1.71046485,0.1102691435,-0.81347613,1.01407558
cyclohexanol,393.15,-15.18811761,-14.07140428,858.06,100.1595,REF,-1.83876499,0.0840549991,-0.93117847,1.1167133300000014
cyclohexanol,388.15,-15.42696862,-14.21403252,862.55,100.1595,REF,-1.96675863,0.0637478883,-1.05060951,1.2129361000000003
cyclohexanol,383.15,-15.66768595,-14.3642121,867.07,100.1595,REF,-2.09485016,0.0481230723,-1.17167904,1.3034738499999996
cyclohexanol,378.15,-15.91024291,-14.52118356,871.61,100.1595,REF,-2.22346692,0.0361625031,-1.29443833,1.3890593499999984
cyclohexanol,373.15,-16.15461156,-14.68425781,876.18,100.1595,REF,-2.35301728,0.027047241,-1.41901205,1.4703537499999992
cyclohexanol,368.15,-16.40076282,-14.85286241,880.78,100.1595,REF,-2.48386182,0.0201303765,-1.54554707,1.5479004100000004
cyclohexanol,363.15,-16.64866657,-15.02653059,885.4,100.1595,REF,-2.61631677,0.0149049674,-1.67419804,1.6221359799999995
cyclohexanol,358.15,-16.89829177,-15.20490062,890.05,100.1595,REF,-2.75065136,0.010976023,-1.80511164,1.69339115
cyclohexanol,353.15,-17.14960654,-15.3876991,894.73,100.1595,REF,-2.88709491,0.0080367783,-1.93842393,1.7619074399999999
cyclohexanol,348.15,-17.40257834,-15.57472839,899.43,100.1595,REF,-3.0258419,0.0058497492,-2.07425829,1.827849950000001
cyclohexanol,343.15,-17.65717409,-15.76585121,904.17,100.1595,REF,-3.16705941,0.0042316752,-2.21272755,1.8913228800000024
cyclohexanol,338.15,-17.91336033,-15.96098063,908.93,100.1595,REF,-3.31089157,0.0030416937,-2.3539345,1.9523796999999998
cyclohexanol,333.15,-18.17110338,-16.16006895,913.72,100.1595,REF,-3.4574653,0.0021719989,-2.49797462,2.0110344300000023
cyclohexanol,328.15,-18.43036953,-16.3630987,918.53,100.1595,REF,-3.60689511,0.0015404956,-2.64493857,2.067270830000002
cyclohexanol,323.15,-18.69112519,-16.57007493,923.38,100.1595,REF,-3.75928744,0.0010850117,-2.79491483,2.1210502600000005
cyclohexanol,318.15,-18.95333714,-16.78101915,928.25,100.1595,REF,-3.91474438,0.0007587462,-2.94799196,2.17231799
cyclohexanol,313.15,-19.21697271,-16.9959637,933.15,100.1595,REF,-4.07336734,0.0005266939,-3.10426132,2.2210090099999995
cyclohexanol,308.15,-19.48199998,-17.21494792,938.08,100.1595,REF,-4.2352599,0.0003628486,-3.263819,2.267052060000001
cyclohexanol,303.15,-19.74838803,-17.43801483,943.03,100.1595,REF,-4.40053053,0.0002480257,-3.426768,2.310373200000001
cyclohexanol,298.15,-20.01610718,-17.66520862,948.02,100.1595,REF,-4.56929505,0.000168175,-3.59322011,2.3508985599999974
"2,3-dihydropyran",403.15,-14.71611476,-15.20185198,840.91,84.1169,REF,-0.82794576,0.5646004529,-0.07097448,-0.48573722000000075
"2,3-dihydropyran",398.15,-14.95115832,-15.47118853,845.34,84.1169,REF,-0.86839031,0.5377591673,-0.09234672,-0.5200302099999998
"2,3-dihydropyran",393.15,-15.18811761,-15.74248782,849.81,84.1169,REF,-0.90983747,0.5104323733,-0.11523712,-0.5543702099999983
"2,3-dihydropyran",388.15,-15.42696862,-16.01556561,854.3,84.1169,REF,-0.95241619,0.4826751702,-0.13977681,-0.5885969899999992
"2,3-dihydropyran",383.15,-15.66768595,-16.29024538,858.83,84.1169,REF,-0.99625696,0.4545603733,-0.16610455,-0.6225594300000026
"2,3-dihydropyran",378.15,-15.91024291,-16.56631772,863.39,84.1169,REF,-1.04151546,0.4261653799,-0.19438229,-0.6560748100000016
"2,3-dihydropyran",373.15,-16.15461156,-16.84354017,867.98,84.1169,REF,-1.0883743,0.3975741626,-0.22479832,-0.6889286100000014
"2,3-dihydropyran",368.15,-16.40076282,-17.12168547,872.6,84.1169,REF,-1.13701635,0.3688963586,-0.25754954,-0.7209226499999986
"2,3-dihydropyran",363.15,-16.64866657,-17.40052926,877.26,84.1169,REF,-1.18763215,0.3402634788,-0.29284558,-0.7518626899999994
"2,3-dihydropyran",358.15,-16.89829177,-17.67977744,881.94,84.1169,REF,-1.24046488,0.3118052842,-0.33094272,-0.7814856699999986
"2,3-dihydropyran",353.15,-17.14960654,-17.95919673,886.67,84.1169,REF,-1.29573334,0.2836933099,-0.37208618,-0.809590189999998
"2,3-dihydropyran",348.15,-17.40257834,-18.23847825,891.42,84.1169,REF,-1.35371595,0.2560948942,-0.41657359,-0.8358999099999984
"2,3-dihydropyran",343.15,-17.65717409,-18.51735239,896.21,84.1169,REF,-1.414682,0.2292067353,-0.46470092,-0.8601782999999976
"2,3-dihydropyran",338.15,-17.91336033,-18.79554277,901.03,84.1169,REF,-1.47892081,0.2032345288,-0.51678327,-0.8821824400000011
"2,3-dihydropyran",333.15,-18.17110338,-19.07279117,905.89,84.1169,REF,-1.54672706,0.1783919531,-0.57314068,-0.9016877899999969
"2,3-dihydropyran",328.15,-18.43036953,-19.34884497,910.78,84.1169,REF,-1.61840958,0.1548872581,-0.63410309,-0.9184754399999981
"2,3-dihydropyran",323.15,-18.69112519,-19.62350457,915.7,84.1169,REF,-1.6942606,0.1329213999,-0.69998038,-0.9323793800000004
"2,3-dihydropyran",318.15,-18.95333714,-19.89660246,920.66,84.1169,REF,-1.77456888,0.1126687722,-0.77107041,-0.9432653200000019
"2,3-dihydropyran",313.15,-19.21697271,-20.16805751,925.66,84.1169,REF,-1.85958177,0.0942724569,-0.8476213,-0.9510848000000003
"2,3-dihydropyran",308.15,-19.48199998,-20.43784093,930.69,84.1169,REF,-1.94952603,0.0778250735,-0.92984768,-0.9558409499999989
"2,3-dihydropyran",303.15,-19.74838803,-20.70600415,935.76,84.1169,REF,-2.04458632,0.0633647381,-1.0179094,-0.9576161199999973
"2,3-dihydropyran",298.15,-20.01610718,-20.97267768,940.86,84.1169,REF,-2.1449026,0.0508710995,-1.11190877,-0.9565705000000015
dimethylformamide,403.15,-14.71611476,-15.03145158,801.05,73.0941,REF,-0.92031893,0.5386029511,-0.10474181,-0.31533682000000063
dimethylformamide,398.15,-14.95115832,-15.29218861,805.29,73.0941,REF,-0.96664382,0.5085823093,-0.13075804,-0.34103029000000085
dimethylformamide,393.15,-15.18811761,-15.55637809,809.57,73.0941,REF,-1.01329277,0.4786794117,-0.15813477,-0.36826048
dimethylformamide,388.15,-15.42696862,-15.82405696,813.88,73.0941,REF,-1.06024399,0.4490799725,-0.18684752,-0.3970883399999998
dimethylformamide,383.15,-15.66768595,-16.09524188,818.22,73.0941,REF,-1.10748532,0.419958123,-0.2168703,-0.4275559300000005
dimethylformamide,378.15,-15.91024291,-16.36990554,822.59,73.0941,REF,-1.15502863,0.3914643604,-0.24818761,-0.4596626300000022
dimethylformamide,373.15,-16.15461156,-16.64796699,826.99,73.0941,REF,-1.2029171,0.363720182,-0.28080315,-0.49335543000000115
dimethylformamide,368.15,-16.40076282,-16.92932563,831.43,73.0941,REF,-1.25120726,0.3368290085,-0.31472985,-0.5285628100000004
dimethylformamide,363.15,-16.64866657,-17.21387371,835.9,73.0941,REF,-1.29996242,0.3108798187,-0.34998643,-0.5652071400000018
