Solvent,Temperature_K,mu_self,mu_solv,Solvent_density,Solvent_MolWeight,Method,log10_x,w,log10_S,x,delta_mu
acetylacetone,378.15,-23.77414272,-24.31892288,890.12,100.1163,SLE,-2.09208748,0.0765140127,-1.16476635,0.00808933,-0.5447801599999984
acetylacetone,373.15,-24.11189277,-24.64707351,894.75,100.1163,SLE,-2.16526254,0.0653486189,-1.23242129,0.00683498,-0.5351807399999977
acetylacetone,368.15,-24.45236622,-24.97774258,899.4,100.1163,SLE,-2.24054701,0.0554681238,-1.30259634,0.00574716,-0.5253763600000028
acetylacetone,363.15,-24.79553009,-25.31100549,904.08,100.1163,SLE,-2.31796284,0.0467937884,-1.37527711,0.0048088,-0.5154753999999997
acetylacetone,358.15,-25.14135041,-25.64694214,908.78,100.1163,SLE,-2.39752985,0.0392373164,-1.45044747,0.00400378,-0.505591729999999
acetylacetone,353.15,-25.4897924,-25.98563464,913.51,100.1163,SLE,-2.47926711,0.0327043658,-1.52809143,0.0033169,-0.49584224000000177
acetylacetone,348.15,-25.84082069,-26.32716491,918.27,100.1163,SLE,-2.56319453,0.0270978205,-1.60819525,0.00273404,-0.48634421999999944
acetylacetone,343.15,-26.1943995,-26.67161469,923.06,100.1163,SLE,-2.64933305,0.0223207563,-1.69074804,0.00224216,-0.477215189999999
acetylacetone,338.15,-26.55049287,-27.01906711,927.87,100.1163,SLE,-2.73770383,0.0182789062,-1.7757413,0.00182935,-0.46857424000000236
acetylacetone,333.15,-26.90906493,-27.36960075,932.71,100.1163,SLE,-2.82833233,0.0148823596,-1.86317311,0.0014848,-0.4605358200000005
acetylacetone,328.15,-27.27008015,-27.7232933,937.58,100.1163,SLE,-2.9212464,0.0120470722,-1.95304642,0.00119882,-0.4532131500000034
acetylacetone,323.15,-27.63350359,-28.08022015,942.47,100.1163,SLE,-3.01647757,0.0096957213,-2.0453703,0.00096277,-0.4467165599999987
acetylacetone,318.15,-27.99930125,-28.44045302,947.4,100.1163,SLE,-3.11406249,0.0077581801,-2.14016139,0.00076902,-0.44115177000000116
acetylacetone,313.15,-28.36744033,-28.8040607,952.35,100.1163,SLE,-3.21404306,0.0061716942,-2.23744389,0.00061088,-0.43662037
acetylacetone,308.15,-28.73788959,-29.1711099,957.33,100.1163,SLE,-3.31646646,0.0048807772,-2.33724953,0.00048254,-0.4332203099999994
acetylacetone,303.15,-29.11061966,-29.54166496,962.33,100.1163,SLE,-3.42138607,0.0038368932,-2.43961826,0.00037898,-0.4310452999999974
acetylacetone,298.15,-29.48560345,-29.9157886,967.37,100.1163,SLE,-3.52886168,0.0029980134,-2.54459831,0.0002959,-0.4301851499999998
benzene,403.15,-22.12730948,-23.62465015,775.84,78.1124,SLE,-1.26329394,0.4289419473,-0.4127745,0.05453886,-1.4973406699999998
benzene,398.15,-22.45099291,-23.98677221,779.96,78.1124,SLE,-1.29510885,0.4101144514,-0.43349839,0.05068637,-1.5357793000000015
benzene,393.15,-22.77754467,-24.35125294,784.12,78.1124,SLE,-1.3280163,0.3909899076,-0.45548463,0.04698765,-1.5737082699999974
benzene,388.15,-23.10693885,-24.71793654,788.3,78.1124,SLE,-1.36213161,0.3715847065,-0.47885081,0.04343786,-1.6109976900000014
benzene,383.15,-23.4391479,-25.08668409,792.52,78.1124,SLE,-1.39756558,0.3519301611,-0.50371528,0.0400345,-1.6475361900000003
