Solvent,Temperature_K,mu_self_REF,mu_solv_REF,Solvent_density_REF,Solvent_MolWeight_REF,Method_REF,log10_x_REF,w_REF,log10_S_REF,delta_mu_REF,mu_self_SLE,mu_solv_SLE,Solvent_density_SLE,Solvent_MolWeight_SLE,Method_SLE,log10_x_SLE,w_SLE,log10_S_SLE,x,delta_mu_SLE,error_log10_x,error_log10_S,error_w,error_delta_mu
propanone,403.15,-22.12730948,-23.78899932,710.52,58.0795,REF,-1.27706789,0.4941633262,-0.36302071,-1.6616898399999975,-22.12730948,-23.6855994,710.52,58.0795,SLE,-1.23026801,0.5226795047,-0.33219797,0.05884804,-1.55828992,0.046799880000000016,0.030822740000000015,0.028516178500000045,0.10339991999999754
propanone,398.15,-22.45099291,-24.18446414,714.36,58.0795,REF,-1.31856358,0.4690482526,-0.38904819,-1.7334712299999993,-22.45099291,-24.0534815,714.36,58.0795,SLE,-1.25850785,0.505456519,-0.34843757,0.05514322,-1.60248859,0.060055729999999974,0.04061062000000004,0.0364082664,0.13098263999999915
propanone,393.15,-22.77754467,-24.58275911,718.24,58.0795,REF,-1.36113595,0.4435686628,-0.41667098,-1.8052144400000003,-22.77754467,-24.42443689,718.24,58.0795,SLE,-1.28735221,0.4879191255,-0.36548516,0.05159977,-1.646892219999998,0.07378373999999988,0.05118582000000005,0.04435046269999998,0.1583222200000023
propanone,388.15,-23.10693885,-24.98366209,722.16,58.0795,REF,-1.40493712,0.4177772882,-0.44603121,-1.8767232400000005,-23.10693885,-24.79841555,722.16,58.0795,SLE,-1.31683805,0.4700878883,-0.38338258,0.04821275,-1.6914767000000026,0.08809906999999995,0.06264863000000004,0.05231060009999999,0.18524653999999785
propanone,383.15,-23.4391479,-25.38703421,726.1,58.0795,REF,-1.45007867,0.391768689,-0.47724684,-1.9478863100000012,-23.4391479,-25.17536061,726.1,58.0795,SLE,-1.34700719,0.4519853763,-0.40217599,0.04497724,-1.7362127100000002,0.10307147999999988,0.07507085000000002,0.060216687300000016,0.21167360000000102
propanone,378.15,-23.77414272,-25.79262952,730.09,58.0795,REF,-1.4967391,0.3656178233,-0.5104896,-2.018486799999998,-23.77414272,-25.55522654,730.09,58.0795,SLE,-1.37789623,0.4336425422,-0.42190881,0.04188936,-1.7810838199999992,0.11884287000000016,0.08858078999999996,0.0680247189,0.23740297999999882
propanone,373.15,-24.11189277,-26.20024513,734.11,58.0795,REF,-1.54508041,0.3394303877,-0.5459246,-2.0883523599999982,-24.11189277,-25.93795209,734.11,58.0795,SLE,-1.4095521,0.4150896809,-0.44263261,0.03894466,-1.8260593199999988,0.13552830999999999,0.10329199,0.07565929319999998,0.2622930399999994
propanone,368.15,-24.45236622,-26.60964259,738.17,58.0795,REF,-1.59529374,0.3133179991,-0.58374439,-2.1572763700000017,-24.45236622,-26.32348068,738.17,58.0795,SLE,-1.44202073,0.3963634828,-0.46439919,0.03613926,-1.8711144600000011,0.15327300999999993,0.11934519999999998,0.08304548369999998,0.2861619100000006
propanone,363.15,-24.79553009,-27.02053003,742.26,58.0795,REF,-1.64761222,0.2873943145,-0.62418094,-2.22499994,-24.79553009,-26.71174587,742.26,58.0795,SLE,-1.47535583,0.3775021552,-0.48726699,0.03346911,-1.9162157800000017,0.17225639000000004,0.13691395,0.0901078407,0.3087841599999983
propanone,358.15,-25.14135041,-27.43259814,746.39,58.0795,REF,-1.70229203,0.2617875006,-0.66749169,-2.2912477299999985,-25.14135041,-27.1026657,746.39,58.0795,SLE,-1.50962295,0.3585436637,-0.51130464,0.0309298,-1.9613152899999982,0.19266907999999994,0.15618705,0.09675616310000001,0.3299324400000003
