Solvent,Temperature_K,mu_self,mu_solv,Solvent_density,Solvent_MolWeight,Method,log10_x,w,log10_S,delta_mu
benzene,388.15,-23.10693885,-24.87511467,788.3,78.1124,REF,-1.46605409,0.3155426876,-0.55974877,-1.7681758199999997
benzene,383.15,-23.4391479,-25.26297677,792.52,78.1124,REF,-1.52083999,0.2880920221,-0.6017918,-1.8238288700000034
benzene,378.15,-23.77414272,-25.65091049,796.78,78.1124,REF,-1.57864327,0.2608353917,-0.64737097,-1.8767677700000007
benzene,373.15,-24.11189277,-26.03843165,801.06,78.1124,REF,-1.63985091,0.2339530455,-0.69689294,-1.926538879999999
benzene,368.15,-24.45236622,-26.425026,805.38,78.1124,REF,-1.70488802,0.2076526444,-0.7508062,-1.9726597800000008
benzene,363.15,-24.79553009,-26.81016832,809.74,78.1124,REF,-1.77420898,0.1821698123,-0.80959221,-2.014638229999999
benzene,358.15,-25.14135041,-27.19329996,814.13,78.1124,REF,-1.84831339,0.1577551021,-0.87377724,-2.05194955
benzene,353.15,-25.4897924,-27.57389318,818.55,78.1124,REF,-1.92770948,0.1346746518,-0.94389699,-2.08410078
benzene,348.15,-25.84082069,-27.95146151,823.01,78.1124,REF,-2.01290843,0.1131914649,-1.02048645,-2.1106408200000004
benzene,343.15,-26.1943995,-28.32560074,827.51,78.1124,REF,-2.10439851,0.0935472459,-1.10405085,-2.1312012399999993
benzene,338.15,-26.55049287,-28.69605966,832.04,78.1124,REF,-2.20259794,0.0759432269,-1.19501537,-2.14556679
benzene,333.15,-26.90906493,-29.06272863,836.61,78.1124,REF,-2.30785719,0.0605108626,-1.29372197,-2.153663699999999
benzene,328.15,-27.27008015,-29.42573199,841.21,78.1124,REF,-2.42039248,0.0473011644,-1.40036244,-2.155651840000001
benzene,323.15,-27.63350359,-29.78536605,845.86,78.1124,REF,-2.54031756,0.0362699649,-1.5150078,-2.1518624600000003
benzene,318.15,-27.99930125,-30.14212145,850.54,78.1124,REF,-2.66762041,0.0272869397,-1.63758833,-2.1428202000000027
benzene,313.15,-28.36744033,-30.49660863,855.26,78.1124,REF,-2.80220555,0.0201509207,-1.76793954,-2.1291683
benzene,308.15,-28.73788959,-30.84949878,860.01,78.1124,REF,-2.94392926,0.0146159344,-1.90584329,-2.1116091899999994
benzene,303.15,-29.11061966,-31.20146435,864.81,78.1124,REF,-3.09263884,0.0104188426,-2.05107264,-2.0908446899999973
benzene,298.15,-29.48560345,-31.55313005,869.64,78.1124,REF,-3.24820794,0.0073031444,-2.20343204,-2.0675266000000008
chcl3,403.15,-22.12730948,-23.61269528,1335.87,119.3783,REF,-1.3726414,0.2739131501,-0.4563379,-1.4853857999999995
chcl3,398.15,-22.45099291,-23.99559428,1342.82,119.3783,REF,-1.42223472,0.2508999935,-0.49123452,-1.5446013699999988
chcl3,393.15,-22.77754467,-24.38070535,1349.82,119.3783,REF,-1.47345427,0.228620125,-0.52842601,-1.6031606799999985
chcl3,388.15,-23.10693885,-24.76799419,1356.85,119.3783,REF,-1.52636764,0.2071913868,-0.56800028,-1.6610553400000008
chcl3,383.15,-23.4391479,-25.15718783,1363.93,119.3783,REF,-1.58118111,0.1866719177,-0.6101535,-1.7180399300000033
chcl3,378.15,-23.77414272,-25.54817829,1371.05,119.3783,REF,-1.63801564,0.167152055,-0.65501469,-1.7740355699999988
chcl3,373.15,-24.11189277,-25.94082462,1378.21,119.3783,REF,-1.69701715,0.1487054071,-0.70273082,-1.82893185
chcl3,368.15,-24.45236622,-26.33498736,1385.41,119.3783,REF,-1.75833781,0.1313946893,-0.75345169,-1.8826211400000012
chcl3,363.15,-24.79553009,-26.73052243,1392.65,119.3783,REF,-1.82214029,0.115268849,-0.80733324,-1.9349923400000009
chcl3,358.15,-25.14135041,-27.12732029,1399.93,119.3783,REF,-1.88857462,0.1003669506,-0.86451667,-1.985969879999999
chcl3,353.15,-25.4897924,-27.52527327,1407.26,119.3783,REF,-1.95779773,0.086710853,-0.92514466,-2.0354808700000007
chcl3,348.15,-25.84082069,-27.9243191,1414.63,119.3783,REF,-2.02994663,0.0743091217,-0.98933675,-2.0834984100000007
chcl3,343.15,-26.1943995,-28.32444734,1422.04,119.3783,REF,-2.10513309,0.0631549624,-1.05718305,-2.1300478399999996
chcl3,338.15,-26.55049287,-28.72569066,1429.49,119.3783,REF,-2.1834475,0.0532238191,-1.12874709,-2.175197790000002
chcl3,333.15,-26.90906493,-29.12812311,1436.98,119.3783,REF,-2.26495858,0.0444734003,-1.20406552,-2.219058180000001
chcl3,328.15,-27.27008015,-29.53189554,1444.52,119.3783,REF,-2.34968832,0.0368470539,-1.28312444,-2.2618153900000024
chcl3,323.15,-27.63350359,-29.93720778,1452.1,119.3783,REF,-2.43762737,0.0302733512,-1.36587438,-2.3037041900000013
chcl3,318.15,-27.99930125,-30.34433487,1459.72,119.3783,REF,-2.52871474,0.0246702917,-1.45221167,-2.3450336200000024
chcl3,313.15,-28.36744033,-30.75359095,1467.39,119.3783,REF,-2.6228591,0.019946966,-1.54200012,-2.3861506199999987
chcl3,308.15,-28.73788959,-31.16533468,1475.09,119.3783,REF,-2.71993275,0.0160080132,-1.63506667,-2.427445089999999
chcl3,303.15,-29.11061966,-31.57995818,1482.84,119.3783,REF,-2.81977677,0.0127572053,-1.73120781,-2.4693385199999973
chcl3,298.15,-29.48560345,-31.99787147,1490.63,119.3783,REF,-2.92221012,0.010100686,-1.83019981,-2.5122680200000005
cyclohexane,403.15,-22.12730948,-20.73240208,682.56,84.16,REF,-2.93403351,0.0138889005,-2.02793473,1.394907400000001
cyclohexane,398.15,-22.45099291,-20.99702771,686.3,84.16,REF,-3.06815547,0.010233364,-2.15890914,1.453965199999999
cyclohexane,393.15,-22.77754467,-21.26656328,690.07,84.16,REF,-3.204554,0.0074941097,-2.29234686,1.5109813900000013
cyclohexane,388.15,-23.10693885,-21.54042141,693.88,84.16,REF,-3.34363321,0.0054507927,-2.42860359,1.5665174399999984
cyclohexane,383.15,-23.4391479,-21.81813005,697.73,84.16,REF,-3.4857516,0.003935027,-2.56800131,1.6210178499999977
cyclohexane,378.15,-23.77414272,-22.09930541,701.61,84.16,REF,-3.63123469,0.0028178058,-2.71083784,1.674837310000001
cyclohexane,373.15,-24.11189277,-22.38363444,705.53,84.16,REF,-3.78038321,0.0020002714,-2.85739279,1.7282583299999992
cyclohexane,368.15,-24.45236622,-22.67085954,709.5,84.16,REF,-3.93348053,0.0014067872,-3.00793344,1.7815066799999997
cyclohexane,363.15,-24.79553009,-22.96076704,713.5,84.16,REF,-4.09079848,0.0009796722,-3.16271939,1.8347630499999994
cyclohexane,358.15,-25.14135041,-23.25317806,717.54,84.16,REF,-4.25260227,0.0006751471,-3.32200652,1.8881723500000014
cyclohexane,353.15,-25.4897924,-23.54794139,721.62,84.16,REF,-4.41915449,0.0004601844,-3.48605039,1.9418510100000006
cyclohexane,348.15,-25.84082069,-23.84492743,725.74,84.16,REF,-4.59071886,0.0003100468,-3.65510945,1.9958932600000026
cyclohexane,343.15,-26.1943995,-24.14402367,729.9,84.16,REF,-4.76756335,0.0002063593,-3.82944769,2.05037583
cyclohexane,338.15,-26.55049287,-24.44513091,734.11,84.16,REF,-4.94996306,0.0001355978,-4.00933726,2.1053619599999998
cyclohexane,333.15,-26.90906493,-24.74816022,738.36,84.16,REF,-5.13820291,8.79087e-05,-4.19506092,2.1609047100000005
cyclohexane,328.15,-27.27008015,-25.05303067,742.65,84.16,REF,-5.3325801,5.61911e-05,-4.38691426,2.21704948
cyclohexane,323.15,-27.63350359,-25.35966747,746.99,84.16,REF,-5.53340647,3.53874e-05,-4.58520794,2.2738361199999986
cyclohexane,318.15,-27.99930125,-25.66800056,751.37,84.16,REF,-5.74101083,2.19407e-05,-4.79026993,2.331300689999999
cyclohexane,313.15,-28.36744033,-25.97796363,755.79,84.16,REF,-5.95574126,1.33821e-05,-5.00244766,2.3894766999999995
cyclohexane,308.15,-28.73788959,-26.28949332,760.26,84.16,REF,-6.1779674,8.022304e-06,-5.22211031,2.4483962700000035
cyclohexane,303.15,-29.11061966,-26.6025288,764.78,84.16,REF,-6.40808284,4.722642e-06,-5.4496511,2.5080908599999994
