Solvent,Temperature_K,mu_self,mu_solv,Solvent_density,Solvent_MolWeight,Method,log10_x,w,log10_S,x,delta_mu
cyclohexane,318.15,-0.01939498,5.5391616,751.37,84.16,SLE,-5.08642807,2.26226e-05,-4.13568542,8.2e-06,5.55855658
cyclohexane,313.15,-0.31423366,5.41038567,755.79,84.16,SLE,-5.33318154,1.28171e-05,-4.37988675,4.64e-06,5.72461933
cyclohexane,308.15,-0.6150239,5.28085318,760.26,84.16,SLE,-5.59176346,7.06661e-06,-4.63590557,2.56e-06,5.89587708
cyclohexane,303.15,-0.92174984,5.15062648,764.78,84.16,SLE,-5.86279513,3.785998e-06,-4.90436286,1.37e-06,6.07237632
cyclohexane,298.15,-1.23438398,5.01975502,769.35,84.16,SLE,-6.14692087,1.968136e-06,-5.18590271,7.1e-07,6.254139
cyclohexanol,403.15,4.12814181,4.14133244,849.16,100.1595,SLE,-0.36614169,0.6366993606,0.42196699,0.43038617,0.013190630000000425
cyclohexanol,398.15,3.9249904,3.94232886,853.6,100.1595,SLE,-0.41077347,0.595584758,0.39139373,0.38835288,0.017338459999999944
cyclohexanol,393.15,3.71738099,3.73954686,858.06,100.1595,SLE,-0.45697052,0.5544400173,0.35876111,0.34916402,0.02216586999999981
cyclohexanol,388.15,3.50516833,3.53282528,862.55,100.1595,SLE,-0.50478741,0.5135216613,0.3239834,0.312761,0.027656949999999902
cyclohexanol,383.15,3.28820878,3.32198046,867.07,100.1595,SLE,-0.55426789,0.4731069281,0.28698758,0.27908218,0.03377167999999964
cyclohexanol,378.15,3.06636144,3.10680435,871.61,100.1595,SLE,-0.6054425,0.4334863409,0.24771697,0.24806044,0.04044290999999989
cyclohexanol,373.15,2.83948933,2.88707455,876.18,100.1595,SLE,-0.6583328,0.3949496524,0.2061293,0.21961763,0.04758521999999976
cyclohexanol,368.15,2.6074606,2.66255037,880.78,100.1595,SLE,-0.71294772,0.3577775,0.16220082,0.19366551,0.05508976999999993
cyclohexanol,363.15,2.37014979,2.43298562,885.4,100.1595,SLE,-0.76928963,0.3222263186,0.11592192,0.17010237,0.06283583000000004
cyclohexanol,358.15,2.12743908,2.19813468,890.05,100.1595,SLE,-0.82735679,0.2885180524,0.06729509,0.1488138,0.07069560000000008
cyclohexanol,353.15,1.87921951,1.95775724,894.73,100.1595,SLE,-0.88714521,0.2568326355,0.01633279,0.12967456,0.07853773000000008
cyclohexanol,348.15,1.62539208,1.71163352,899.43,100.1595,SLE,-0.94865736,0.2273001342,-0.03695112,0.11254926,0.08624144
cyclohexanol,343.15,1.3658688,1.45956145,904.17,100.1595,SLE,-1.01190008,0.2000020434,-0.09254091,0.09729711,0.09369264999999993
cyclohexanol,338.15,1.10057361,1.20137043,908.93,100.1595,SLE,-1.07689325,0.1749701748,-0.15042823,0.08377352,0.10079682000000001
cyclohexanol,333.15,0.82944309,0.93691584,913.72,100.1595,SLE,-1.14366661,0.1521932315,-0.21061084,0.07183455,0.10747275
cyclohexanol,328.15,0.55242703,0.66608957,918.53,100.1595,SLE,-1.21226709,0.1316206004,-0.27310074,0.06133847,0.11366253999999998
cyclohexanol,323.15,0.26948871,0.38881231,923.38,100.1595,SLE,-1.28275468,0.1131710955,-0.33792169,0.05214892,0.11932359999999997
cyclohexanol,318.15,-0.01939498,0.10503526,928.25,100.1595,SLE,-1.35520446,0.0967393386,-0.40511213,0.04413626,0.12443024
cyclohexanol,313.15,-0.31423366,-0.18526007,933.15,100.1595,SLE,-1.42970774,0.0822022922,-0.4747271,0.03717853,0.12897359000000003
cyclohexanol,308.15,-0.6150239,-0.48206853,938.08,100.1595,SLE,-1.50636877,0.0694259249,-0.54683573,0.03116242,0.13295536999999996
cyclohexanol,303.15,-0.92174984,-0.78536428,943.03,100.1595,SLE,-1.58530401,0.0582701875,-0.62152097,0.0259834,0.13638556000000002
cyclohexanol,298.15,-1.23438398,-1.09510126,948.02,100.1595,SLE,-1.66664337,0.0485929032,-0.69888099,0.0215455,0.13928271999999997
"2,3-dihydropyran",403.15,4.12814181,4.21191668,840.91,84.1169,SLE,-0.40438845,0.6424027084,0.42463751,0.39410465,0.08377487000000006
"2,3-dihydropyran",398.15,3.9249904,4.04255509,845.34,84.1169,SLE,-0.46576403,0.5895823272,0.3844941,0.3421653,0.11756468999999958
"2,3-dihydropyran",393.15,3.71738099,3.8805614,849.81,84.1169,SLE,-0.53532415,0.5319339429,0.33654567,0.29152503,0.16318040999999983
"2,3-dihydropyran",388.15,3.50516833,3.73004324,854.3,84.1169,SLE,-0.61578162,0.4688846324,0.27807645,0.24222467,0.22487491000000004
"2,3-dihydropyran",383.15,3.28820878,3.59653442,858.83,84.1169,SLE,-0.71080321,0.4002700782,0.20527684,0.19462418,0.3083256399999996
"2,3-dihydropyran",378.15,3.06636144,3.48591136,863.39,84.1169,SLE,-0.82444606,0.3273582527,0.11358792,0.14981453,0.4195499199999997
"2,3-dihydropyran",373.15,2.83948933,3.40017815,867.98,84.1169,SLE,-0.95871562,0.2544301358,-0.00010302,0.10997257,0.5606888199999998
"2,3-dihydropyran",368.15,2.6074606,3.33085328,872.6,84.1169,SLE,-1.10950144,0.1887852073,-0.13318483,0.07771387,0.7233926799999999
"2,3-dihydropyran",363.15,2.37014979,3.26051943,877.26,84.1169,SLE,-1.26708766,0.1363317439,-0.27680542,0.05406452,0.8903696399999999
"2,3-dihydropyran",358.15,2.12743908,3.17532352,881.94,84.1169,SLE,-1.42338527,0.0976940241,-0.42254238,0.03772374,1.0478844400000003
"2,3-dihydropyran",353.15,1.87921951,3.07031357,886.67,84.1169,SLE,-1.57534775,0.0701408491,-0.56647055,0.02658595,1.1910940600000002
"2,3-dihydropyran",348.15,1.62539208,2.94587668,891.42,84.1169,SLE,-1.7230974,0.0505663551,-0.70791599,0.01891919,1.3204846000000001
"2,3-dihydropyran",343.15,1.3658688,2.80406798,896.21,84.1169,SLE,-1.86781852,0.0365703363,-0.84750196,0.01355756,1.43819918
"2,3-dihydropyran",338.15,1.10057361,2.64705934,901.03,84.1169,SLE,-2.01083316,0.0264829503,-0.98618067,0.00975364,1.5464857300000001
"2,3-dihydropyran",333.15,0.82944309,2.47667516,905.89,84.1169,SLE,-2.15330649,0.0191668125,-1.12487435,0.00702576,1.64723207
"2,3-dihydropyran",328.15,0.55242703,2.29439355,910.78,84.1169,SLE,-2.2962353,0.0138392567,-1.26441693,0.00505551,1.74196652
"2,3-dihydropyran",323.15,0.26948871,2.10135325,915.7,84.1169,SLE,-2.44043933,0.0099539029,-1.40551658,0.00362711,1.8318645399999998
"2,3-dihydropyran",318.15,-0.01939498,1.89845649,920.66,84.1169,SLE,-2.5866178,0.0071220298,-1.54879431,0.00259049,1.91785147
"2,3-dihydropyran",313.15,-0.31423366,1.68639922,925.66,84.1169,SLE,-2.73536099,0.0050632945,-1.69478458,0.00183924,2.00063288
